Time (s),Channel 1 (V),Channel 2 (V)
-0.0009836994059405943,0.05914052188049498,-2.37972004041663
-0.0009833694059405941,0.05914052188049498,-2.372345379659038
-0.0009830394059405943,0.05914052188049498,-2.372345379659034
-0.0009827094059405941,0.05914052188049498,-2.361283388522655
-0.0009823794059405939,0.05914052188049498,-2.353908727765055
-0.0009820494059405941,0.05914052188049498,-2.342846736628681
-0.0009817194059405939,0.05914052188049514,-2.33915940624988
-0.0009813894059405941,0.0594759311090371,-2.335472075871088
-0.0009810594059405939,0.05914052188049498,-2.328097415113497
-0.0009807294059405941,0.05914052188049498,-2.324410084734704
-0.0009803994059405939,0.05914052188049498,-2.313348093598318
-0.0009800694059405942,0.05880511265195287,-2.305973432840732
-0.0009797394059405939,0.05846970342341045,-2.298598772083138
-0.0009794094059405942,0.05846970342341045,-2.291224111325552
-0.000979079405940594,0.05846970342341045,-2.283849450567959
-0.0009787494059405942,0.05813429419486833,-2.276474789810373
-0.000978419405940594,0.05846970342341045,-2.272787459431575
-0.0009780894059405942,0.05779888496632652,-2.265412798673992
-0.000977759405940594,0.05813429419486818,-2.254350807537601
-0.0009774294059405942,0.05813429419486818,-2.25066347715881
-0.000977099405940594,0.05813429419486818,-2.239601486022422
-0.0009767694059405942,0.05779888496632622,-2.232226825264839
-0.0009764394059405941,0.05779888496632591,-2.224852164507243
-0.0009761094059405941,0.05746347573778364,-2.213790173370858
-0.0009757794059405942,0.05746347573778364,-2.210102842992064
-0.0009754494059405942,0.05746347573778364,-2.202728182234478
-0.0009751194059405942,0.05645724805215729,-2.191666191098094
-0.0009747894059405942,0.05679265728069895,-2.187978860719296
-0.0009744594059405942,0.0567926572806991,-2.176916869582915
-0.000974129405940594,0.0567926572806991,-2.169542208825316
-0.000973799405940594,0.05679265728069864,-2.158480217688937
-0.000973469405940594,0.05578642959507214,-2.158480217688932
-0.000973139405940594,0.05545102036652971,-2.147418226552549
-0.000972809405940594,0.05478020190944548,-2.140043565794963
-0.000972479405940594,0.05511561113798775,-2.121606913900989
-0.000972149405940594,0.05478020190944548,-2.110544922764604
-0.000971819405940594,0.05444479268090321,-2.103170262007015
-0.000971489405940594,0.05410938345236094,-2.09948293162822
-0.000971159405940594,0.05377397422381867,-2.09210827087063
-0.0009708294059405941,0.0534385649952764,-2.077358949355451
-0.0009704994059405941,0.05243233730964959,-2.073671618976657
-0.0009701694059405941,0.05209692808110732,-2.066296958219067
-0.0009698394059405941,0.05176151885256505,-2.055234967082682
-0.0009695094059405941,0.05142610962402278,-2.036798315188709
-0.0009691794059405941,0.05176151885256505,-2.025736324052324
-0.0009688494059405941,0.05109070039548051,-2.018361663294735
-0.0009685194059405941,0.05075529116693824,-2.00729967215835
-0.0009681894059405941,0.05075529116693824,-1.999925011400761
-0.0009678594059405941,0.05008447270985369,-1.985175689885582
-0.0009675294059405941,0.04941365425276915,-1.977801029127992
-0.0009671994059405941,0.04840742656714235,-1.970426368370402
-0.0009668694059405942,0.04840742656714235,-1.963051707612816
-0.0009665394059405942,0.04807201733860023,-1.948302386097641
-0.0009662094059405942,0.04773660811005796,-1.937240394961255
-0.0009658794059405942,0.04740119888151569,-1.922491073446077
-0.0009655494059405942,0.0467303804244313,-1.911429082309691
-0.000965219405940594,0.04673038042443085,-1.90405442155209
-0.000964889405940594,0.04639497119588812,-1.889305100036914
-0.000964559405940594,0.04505333428171919,-1.881930439279323
-0.000964229405940594,0.04404710659609284,-1.87086844814294
-0.000963899405940594,0.04404710659609284,-1.863493787385354
-0.000963569405940594,0.0433762881390083,-1.85243179624897
-0.000963239405940594,0.04304087891046603,-1.83768247473379
-0.000962909405940594,0.04237006045338149,-1.830307813976201
-0.000962579405940594,0.04237006045338149,-1.815558492461022
-0.0009622494059405941,0.04136383276775468,-1.804496501324637
-0.0009619194059405941,0.04102842353921241,-1.793434510188253
-0.0009615894059405941,0.04035760508212786,-1.782372519051869
-0.0009612594059405941,0.03968678662504332,-1.767623197536689
-0.0009609294059405941,0.03868055893941651,-1.75287387602151
-0.0009605994059405941,0.03800974048233197,-1.749186545642715
-0.0009602694059405941,0.03733892202524744,-1.734437224127536
-0.0009599394059405941,0.0366681035681629,-1.723375232991152
-0.0009596094059405941,0.03599728511107836,-1.712313241854768
-0.0009592794059405941,0.03566187588253609,-1.697563920339588
-0.0009589494059405941,0.03465564819690928,-1.690189259581999
-0.0009586194059405941,0.03432023896836701,-1.679127268445614
-0.0009582894059405942,0.03398482973982474,-1.664377946930435
-0.0009579594059405942,0.0333140112827405,-1.649628625415263
-0.0009576294059405942,0.03297860205419808,-1.634879303900084
-0.0009572994059405942,0.03230778359711369,-1.623817312763698
-0.0009569694059405942,0.03197237436857127,-1.612755321627313
-0.000956639405940594,0.03130155591148642,-1.598006000112123
-0.000956309405940594,0.03096614668294385,-1.583256678596945
-0.000955979405940594,0.02995991899731734,-1.572194687460559
-0.000955649405940594,0.02962450976877477,-1.557445365945381
-0.000955319405940594,0.02861828208314842,-1.546383374809002
-0.000954989405940594,0.02794746362606388,-1.527946722915028
-0.000954659405940594,0.02727664516897934,-1.516884731778644
-0.000954329405940594,0.0266058267118948,-1.50582274064226
-0.000953999405940594,0.02593500825481026,-1.49107341912708
-0.0009536694059405941,0.02593500825481026,-1.476324097611901
-0.0009533394059405941,0.02492878056918344,-1.465262106475517
-0.0009530094059405941,0.02425796211209891,-1.457887445717927
-0.0009526794059405941,0.02358714365501437,-1.435763463445159
-0.0009523494059405941,0.02291632519792983,-1.421014141929979
-0.0009520194059405941,0.02157468828376075,-1.4062648204148
-0.0009516894059405941,0.02090386982667621,-1.391515498899621
-0.0009513594059405941,0.01989764214104939,-1.380453507763237
-0.0009510294059405941,0.01889141445542258,-1.373078847005647
-0.0009506994059405941,0.01855600522688032,-1.358329525490468
-0.0009503694059405941,0.01788518676979578,-1.343580203975289
-0.0009500394059405941,0.01754977754125351,-1.32883088246011
-0.0009497094059405942,0.0165435498556267,-1.310394230566136
-0.0009493794059405942,0.01587273139854246,-1.299332239429756
-0.0009490494059405942,0.01453109448437369,-1.280895587535786
-0.0009487194059405942,0.01453109448437308,-1.269833596399398
-0.0009483894059405942,0.01419568525583096,-1.255084274884221
-0.000948059405940594,0.01318945757020338,-1.240334953369028
-0.000947729405940594,0.01184782065603476,-1.225585631853852
-0.000947399405940594,0.01151241142749234,-1.218210971096258
-0.000947069405940594,0.01084159297040795,-1.199774319202286
-0.000946739405940594,0.01050618374186583,-1.185024997687113
-0.000946409405940594,0.009499956056239024,-1.170275676171934
-0.000946079405940594,0.008493728370612215,-1.155526354656755
-0.000945749405940594,0.007822909913527675,-1.140777033141576
-0.000945419405940594,0.007152091456443135,-1.122340381247602
-0.0009450894059405941,0.006145863770816325,-1.111278390111218
-0.0009447594059405941,0.005139636085189515,-1.092841738217243
-0.0009444294059405941,0.005139636085189515,-1.089154407838449
-0.0009440994059405941,0.003797999171020435,-1.070717755944475
-0.0009437694059405941,0.003462589942478165,-1.052281104050501
-0.0009434394059405941,0.002456362256851355,-1.033844452156527
-0.0009431094059405941,0.001785543799766815,-1.022782461020142
-0.0009427794059405941,0.001114725342682275,-1.008033139504963
-0.0009424494059405941,0.0004439068855977347,-0.9932838179897843
-0.0009421194059405941,0.0001084976570554647,-0.9748471660958103
-0.0009417894059405941,-0.0005623208000290754,-0.9564105142018364
-0.0009414594059405941,-0.001233139257113615,-0.9416611926866573
-0.0009411294059405941,-0.001568548485655885,-0.9232245407926833
-0.0009407994059405942,-0.002574776171282238,-0.915849880035097
-0.0009404694059405942,-0.003916413085451166,-0.8974132281411282
-0.0009401394059405942,-0.004922640771078127,-0.8863512370047404
-0.0009398094059405942,-0.005928868456704938,-0.871601915489563
-0.000939479405940594,-0.006599686913790088,-0.8568525939743705
-0.000939149405940594,-0.006935096142332664,-0.8421032724591879
-0.000938819405940594,-0.007941323827959016,-0.8199792901864243
-0.000938489405940594,-0.007941323827959168,-0.8089172990500348
-0.000938159405940594,-0.008276733056501286,-0.7867933167772763
-0.000937829405940594,-0.008612142285043556,-0.7757313256408919
-0.000937499405940594,-0.009618369970670365,-0.7572946737469179
-0.000937169405940594,-0.01062459765629718,-0.7425453522317388
-0.000936839405940594,-0.01129541611338172,-0.7241087003377649
-0.000936509405940594,-0.01230164379900853,-0.7130467092013805
-0.0009361794059405941,-0.01330787148463534,-0.6982973876862013
-0.0009358494059405941,-0.01397868994171988,-0.6835480661710222
-0.0009355194059405941,-0.01431409917026215,-0.6651114142770482
-0.0009351894059405941,-0.01464950839880442,-0.6503620927618691
-0.0009348594059405941,-0.01565573608443123,-0.6319254408678951
-0.0009345294059405941,-0.01666196377005804,-0.6134887889739212
-0.0009341994059405941,-0.01733278222714258,-0.5950521370799473
-0.0009338694059405941,-0.01800360068422712,-0.583990145943563
-0.0009335394059405941,-0.01900982836985392,-0.5729281548071786
-0.0009332094059405941,-0.01934523759839619,-0.5544915029132047
-0.0009328794059405941,-0.02001605605548074,-0.5434295117768203
-0.0009325494059405941,-0.02102228374110755,-0.5213055295040516
-0.0009322194059405942,-0.02169310219819209,-0.4954942168524881
-0.0009318894059405942,-0.02236392065527632,-0.4844322257161088
-0.0009315594059405942,-0.02303473911236086,-0.4696829042009313
-0.0009312294059405942,-0.02337014834090329,-0.451246252306959
-0.0009308994059405942,-0.02370555756944556,-0.4328096004129851
-0.000930569405940594,-0.02471178525507267,-0.4180602788977892
-0.000930239405940594,-0.02504719448361494,-0.3996236270038169
-0.000929909405940594,-0.02538260371215767,-0.3848743054886378
-0.000929579405940594,-0.02672424062632644,-0.3701249839734603
-0.000929249405940594,-0.02739505908341068,-0.359062992837081
-0.000928919405940594,-0.02773046831195295,-0.3443136713219019
-0.000928589405940594,-0.02806587754049522,-0.3258770194279279
-0.000928259405940594,-0.02873669599757976,-0.307440367533954
-0.000927929405940594,-0.02907210522612203,-0.2926910460187749
-0.0009275994059405941,-0.03007833291174884,-0.2779417245035957
-0.0009272694059405941,-0.03074915136883338,-0.2595050726096218
-0.0009269394059405941,-0.03074915136883338,-0.2410684207156479
-0.0009266094059405941,-0.03175537905446019,-0.2226317688216739
-0.0009262794059405941,-0.03209078828300246,-0.2078824473064948
-0.0009259494059405941,-0.032761606740087,-0.1931331257913156
-0.0009256194059405941,-0.03376783442571381,-0.1783838042761365
-0.0009252894059405941,-0.03443865288279835,-0.1636344827609573
-0.0009249594059405941,-0.03510947133988289,-0.1451978308669834
-0.0009246294059405941,-0.03544488056842516,-0.1230738485942147
-0.0009242994059405941,-0.03510947133988289,-0.1083245270790355
-0.0009239694059405941,-0.03578028979696743,-0.08988787518506161
-0.0009236394059405942,-0.03678651748259424,-0.07882588404867726
-0.0009233094059405942,-0.03712192671113636,-0.0603892321547117
-0.0009229794059405942,-0.03779274516822074,-0.049327241018324
-0.0009226494059405942,-0.03812815439676316,-0.02720325874556031
-0.0009223194059405942,-0.03846356362530543,-0.005079276472791588
-0.000921989405940594,-0.03946979131093255,0.009670045042406003
-0.000921659405940594,-0.03980520053947482,0.02810669693637491
-0.000921329405940594,-0.04014060976801724,0.0354813576939695
-0.000920999405940594,-0.04081142822510163,0.05391800958794343
-0.000920669405940594,-0.04114683745364375,0.07235466148190899
-0.000920339405940594,-0.04181765591072829,0.08710398299708813
-0.000920009405940594,-0.04248847436781283,0.1055406348910621
-0.000919679405940594,-0.0428238835963551,0.123977286785036
-0.000919349405940594,-0.04349470205343964,0.1387266083002151
-0.0009190194059405941,-0.04383011128198191,0.1571632601941891
-0.0009186894059405941,-0.04416552051052418,0.1719125817093682
-0.0009183594059405941,-0.04483633896760872,0.1903492336033422
-0.0009180294059405941,-0.04517174819615099,0.2124732158761109
-0.0009176994059405941,-0.04517174819615099,0.22722253739129
-0.0009173694059405941,-0.04550715742469326,0.2419718589064692
-0.0009170394059405941,-0.04584256665323553,0.2567211804216483
-0.0009167094059405941,-0.04651338511032007,0.2714705019368274
